#datum;y_ta;y_tax;y_taxd;y_tan;y_tand
2006;11.1;27.3;2006-06-27;-11.6;2006-01-23
2007;12.0;30.7;2007-07-22;-6.9;2007-12-19
2008;12.1;30.5;2008-08-15;-8.1;2008-01-04
2009;12.1;28.3;2009-08-03;-10.2;2009-01-09
2010;11.1;28.1;2010-07-17;-9.9;2010-01-25
2011;11.5;28.8;2011-08-26;-6.3;2011-01-05
2012;11.9;29.8;2012-08-06;-16.1;2012-02-10
2013;11.9;28.7;2013-07-29;-5.4;2013-01-08
2014;12.5;26.4;2014-06-10;-9.8;2014-12-31
2015;12.2;29.2;2015-07-23;-7.1;2015-01-01
2016;11.8;28.6;2016-07-13;-7.6;2016-01-04
2017;12.0;30.7;2017-08-05;-12.0;2017-01-07
2018;12.9;27.8;2018-08-09;-10.9;2018-03-01
2019;12.9;27.9;2019-08-12;-6.8;2019-01-07
2020;12.3;27.4;2020-08-30;-4.1;2020-01-08
