#datum;y_ta;y_tax;y_taxd;y_tan;y_tand
2006;10.1;26.0;2006-07-22;-13.1;2006-01-24
2007;11.3;29.7;2007-07-19;-6.3;2007-12-18
2008;11.2;24.8;2008-09-06;-6.0;2008-12-30
2009;10.8;26.4;2009-07-23;-13.2;2009-12-20
2010;9.8;27.8;2010-07-17;-9.1;2010-01-27
2011;10.5;26.2;2011-08-23;-6.1;2011-01-04
2012;11.1;28.0;2012-07-01;-11.1;2012-02-03
2013;10.7;28.9;2013-08-08;-7.7;2013-01-27
2014;11.7;25.8;2014-06-11;-7.4;2014-12-31
2015;11.5;28.5;2015-07-07;-4.9;2015-12-31
2016;10.9;25.8;2016-06-24;-7.3;2016-01-04
2017;10.9;28.4;2017-08-04;-9.0;2017-01-10
2018;11.7;27.1;2018-07-31;-10.3;2018-02-28
2019;11.8;26.9;2019-06-27;-4.3;2019-01-23
2020;11.3;25.4;2020-08-07;-3.0;2020-01-03
